State,Status,CustomerCount,StatusDate
DM,1,877,2009-01-05 00:00:00
GA,1,901,2009-01-12 00:00:00
FL,3,749,2009-01-19 00:00:00
fl,3,111,2009-01-26 00:00:00
FL,1,300,2009-02-02 00:00:00
GA,2,706,2009-02-09 00:00:00
FL,3,347,2009-02-16 00:00:00
TX,2,143,2009-02-23 00:00:00
fl,3,833,2009-03-02 00:00:00
FL,1,992,2009-03-09 00:00:00
NY,2,978,2009-03-16 00:00:00
fl,2,32,2009-03-23 00:00:00
TX,2,293,2009-03-30 00:00:00
GA,1,291,2009-04-06 00:00:00
fl,3,474,2009-04-13 00:00:00
fl,2,905,2009-04-20 00:00:00
NJ,1,753,2009-04-27 00:00:00
NJ,3,309,2009-05-04 00:00:00
GA,2,295,2009-05-11 00:00:00
fl,3,443,2009-05-18 00:00:00
NY,1,46,2009-05-25 00:00:00
TX,3,591,2009-06-01 00:00:00
GA,2,737,2009-06-08 00:00:00
FL,3,62,2009-06-15 00:00:00
NJ,3,997,2009-06-22 00:00:00
GA,3,767,2009-06-29 00:00:00
GA,1,723,2009-07-06 00:00:00
fl,2,293,2009-07-13 00:00:00
fl,1,710,2009-07-20 00:00:00
FL,1,990,2009-07-27 00:00:00
NJ,2,359,2009-08-03 00:00:00
TX,1,568,2009-08-10 00:00:00
GA,2,369,2009-08-17 00:00:00
TX,1,991,2009-08-24 00:00:00
fl,2,550,2009-08-31 00:00:00
fl,3,587,2009-09-07 00:00:00
FL,1,772,2009-09-14 00:00:00
NJ,1,495,2009-09-21 00:00:00
fl,1,349,2009-09-28 00:00:00
NJ,1,508,2009-10-05 00:00:00
fl,1,694,2009-10-12 00:00:00
NY,3,768,2009-10-19 00:00:00
TX,3,930,2009-10-26 00:00:00
FL,3,195,2009-11-02 00:00:00
FL,2,940,2009-11-09 00:00:00
TX,2,634,2009-11-16 00:00:00
NJ,2,959,2009-11-23 00:00:00
NJ,2,596,2009-11-30 00:00:00
fl,3,881,2009-12-07 00:00:00
GA,3,510,2009-12-14 00:00:00
FL,3,285,2009-12-21 00:00:00
NJ,3,298,2009-12-28 00:00:00
fl,1,99,2010-01-04 00:00:00
FL,2,164,2010-01-11 00:00:00
NJ,3,714,2010-01-18 00:00:00
fl,1,640,2010-01-25 00:00:00
NY,2,881,2010-02-01 00:00:00
NY,3,404,2010-02-08 00:00:00
GA,1,148,2010-02-15 00:00:00
TX,3,256,2010-02-22 00:00:00
GA,1,871,2010-03-01 00:00:00
FL,2,757,2010-03-08 00:00:00
FL,3,671,2010-03-15 00:00:00
NJ,3,247,2010-03-22 00:00:00
fl,3,454,2010-03-29 00:00:00
NJ,2,212,2010-04-05 00:00:00
TX,1,375,2010-04-12 00:00:00
NJ,2,502,2010-04-19 00:00:00
fl,2,536,2010-04-26 00:00:00
NJ,2,225,2010-05-03 00:00:00
FL,2,756,2010-05-10 00:00:00
NY,1,89,2010-05-17 00:00:00
GA,1,538,2010-05-24 00:00:00
NY,2,162,2010-05-31 00:00:00
TX,2,421,2010-06-07 00:00:00
NY,3,668,2010-06-14 00:00:00
NJ,3,765,2010-06-21 00:00:00
fl,2,198,2010-06-28 00:00:00
TX,2,830,2010-07-05 00:00:00
GA,2,990,2010-07-12 00:00:00
fl,1,94,2010-07-19 00:00:00
TX,1,314,2010-07-26 00:00:00
NY,1,261,2010-08-02 00:00:00
NJ,1,185,2010-08-09 00:00:00
TX,2,160,2010-08-16 00:00:00
TX,2,763,2010-08-23 00:00:00
TX,1,79,2010-08-30 00:00:00
NJ,1,708,2010-09-06 00:00:00
NJ,2,615,2010-09-13 00:00:00
GA,2,642,2010-09-20 00:00:00
FL,3,480,2010-09-27 00:00:00
fl,1,843,2010-10-04 00:00:00
NY,2,87,2010-10-11 00:00:00
TX,3,100,2010-10-18 00:00:00
TX,2,321,2010-10-25 00:00:00
GA,1,451,2010-11-01 00:00:00
FL,1,75,2010-11-08 00:00:00
FL,2,116,2010-11-15 00:00:00
FL,2,739,2010-11-22 00:00:00
fl,3,67,2010-11-29 00:00:00
NY,2,705,2010-12-06 00:00:00
FL,3,453,2010-12-13 00:00:00
TX,1,402,2010-12-20 00:00:00
GA,2,202,2010-12-27 00:00:00
NY,2,308,2011-01-03 00:00:00
NY,3,656,2011-01-10 00:00:00
NJ,3,605,2011-01-17 00:00:00
NY,2,166,2011-01-24 00:00:00
TX,2,959,2011-01-31 00:00:00
FL,1,588,2011-02-07 00:00:00
NJ,1,533,2011-02-14 00:00:00
GA,1,130,2011-02-21 00:00:00
fl,2,882,2011-02-28 00:00:00
FL,1,926,2011-03-07 00:00:00
NJ,1,889,2011-03-14 00:00:00
TX,1,342,2011-03-21 00:00:00
fl,1,198,2011-03-28 00:00:00
NJ,3,329,2011-04-04 00:00:00
NY,2,571,2011-04-11 00:00:00
NJ,1,894,2011-04-18 00:00:00
NJ,3,342,2011-04-25 00:00:00
GA,1,887,2011-05-02 00:00:00
TX,3,706,2011-05-09 00:00:00
NJ,2,825,2011-05-16 00:00:00
NJ,1,491,2011-05-23 00:00:00
GA,3,416,2011-05-30 00:00:00
fl,1,388,2011-06-06 00:00:00
fl,2,798,2011-06-13 00:00:00
FL,3,515,2011-06-20 00:00:00
fl,1,135,2011-06-27 00:00:00
fl,2,941,2011-07-04 00:00:00
GA,2,544,2011-07-11 00:00:00
GA,2,536,2011-07-18 00:00:00
NY,3,924,2011-07-25 00:00:00
GA,1,244,2011-08-01 00:00:00
NY,2,513,2011-08-08 00:00:00
fl,1,148,2011-08-15 00:00:00
NY,2,327,2011-08-22 00:00:00
TX,1,890,2011-08-29 00:00:00
NY,3,329,2011-09-05 00:00:00
TX,1,955,2011-09-12 00:00:00
TX,2,138,2011-09-19 00:00:00
fl,3,181,2011-09-26 00:00:00
fl,1,491,2011-10-03 00:00:00
FL,3,737,2011-10-10 00:00:00
NY,2,742,2011-10-17 00:00:00
GA,3,784,2011-10-24 00:00:00
NJ,1,95,2011-10-31 00:00:00
fl,1,33,2011-11-07 00:00:00
fl,2,949,2011-11-14 00:00:00
NY,3,847,2011-11-21 00:00:00
FL,3,105,2011-11-28 00:00:00
NY,1,941,2011-12-05 00:00:00
NY,1,453,2011-12-12 00:00:00
fl,1,623,2011-12-19 00:00:00
GA,2,462,2011-12-26 00:00:00
GA,1,123,2012-01-02 00:00:00
TX,1,564,2012-01-09 00:00:00
TX,3,530,2012-01-16 00:00:00
NJ,2,85,2012-01-23 00:00:00
FL,3,883,2012-01-30 00:00:00
FL,1,724,2012-02-06 00:00:00
GA,1,56,2012-02-13 00:00:00
GA,2,784,2012-02-20 00:00:00
FL,1,957,2012-02-27 00:00:00
TX,1,888,2012-03-05 00:00:00
FL,3,109,2012-03-12 00:00:00
FL,1,91,2012-03-19 00:00:00
NY,3,999,2012-03-26 00:00:00
TX,1,375,2012-04-02 00:00:00
GA,1,318,2012-04-09 00:00:00
FL,2,899,2012-04-16 00:00:00
FL,1,852,2012-04-23 00:00:00
fl,2,257,2012-04-30 00:00:00
FL,1,710,2012-05-07 00:00:00
fl,3,782,2012-05-14 00:00:00
fl,3,585,2012-05-21 00:00:00
fl,3,616,2012-05-28 00:00:00
NY,2,370,2012-06-04 00:00:00
TX,2,128,2012-06-11 00:00:00
fl,2,687,2012-06-18 00:00:00
NY,2,291,2012-06-25 00:00:00
fl,1,491,2012-07-02 00:00:00
NJ,3,754,2012-07-09 00:00:00
fl,1,154,2012-07-16 00:00:00
GA,3,104,2012-07-23 00:00:00
TX,1,169,2012-07-30 00:00:00
NY,2,869,2012-08-06 00:00:00
fl,2,511,2012-08-13 00:00:00
TX,3,708,2012-08-20 00:00:00
NJ,3,163,2012-08-27 00:00:00
GA,1,89,2012-09-03 00:00:00
TX,1,747,2012-09-10 00:00:00
NY,2,264,2012-09-17 00:00:00
NJ,1,381,2012-09-24 00:00:00
FL,2,315,2012-10-01 00:00:00
FL,2,981,2012-10-08 00:00:00
fl,2,941,2012-10-15 00:00:00
fl,1,203,2012-10-22 00:00:00
NJ,3,247,2012-10-29 00:00:00
NJ,3,564,2012-11-05 00:00:00
GA,2,875,2012-11-12 00:00:00
NJ,3,573,2012-11-19 00:00:00
NJ,1,748,2012-11-26 00:00:00
NJ,3,222,2012-12-03 00:00:00
FL,1,500,2012-12-10 00:00:00
NJ,2,595,2012-12-17 00:00:00
NJ,2,969,2012-12-24 00:00:00
FL,3,888,2012-12-31 00:00:00
FL,3,122,2009-01-05 00:00:00
fl,3,955,2009-01-12 00:00:00
fl,1,522,2009-01-19 00:00:00
NY,3,436,2009-01-26 00:00:00
fl,2,398,2009-02-02 00:00:00
TX,3,263,2009-02-09 00:00:00
fl,2,458,2009-02-16 00:00:00
GA,3,434,2009-02-23 00:00:00
fl,3,941,2009-03-02 00:00:00
NY,3,606,2009-03-09 00:00:00
NJ,1,355,2009-03-16 00:00:00
NY,1,972,2009-03-23 00:00:00
GA,2,35,2009-03-30 00:00:00
NY,3,251,2009-04-06 00:00:00
fl,3,997,2009-04-13 00:00:00
fl,1,820,2009-04-20 00:00:00
NY,1,447,2009-04-27 00:00:00
NY,2,781,2009-05-04 00:00:00
TX,1,987,2009-05-11 00:00:00
NY,1,377,2009-05-18 00:00:00
TX,1,378,2009-05-25 00:00:00
NY,2,528,2009-06-01 00:00:00
GA,1,45,2009-06-08 00:00:00
TX,3,897,2009-06-15 00:00:00
FL,1,896,2009-06-22 00:00:00
TX,3,531,2009-06-29 00:00:00
FL,3,270,2009-07-06 00:00:00
NJ,2,75,2009-07-13 00:00:00
fl,3,491,2009-07-20 00:00:00
NJ,3,705,2009-07-27 00:00:00
NJ,3,670,2009-08-03 00:00:00
TX,3,563,2009-08-10 00:00:00
TX,2,341,2009-08-17 00:00:00
TX,3,840,2009-08-24 00:00:00
TX,1,602,2009-08-31 00:00:00
NJ,1,307,2009-09-07 00:00:00
FL,2,238,2009-09-14 00:00:00
TX,3,854,2009-09-21 00:00:00
GA,1,952,2009-09-28 00:00:00
fl,1,145,2009-10-05 00:00:00
FL,3,315,2009-10-12 00:00:00
NY,3,640,2009-10-19 00:00:00
TX,1,844,2009-10-26 00:00:00
GA,3,752,2009-11-02 00:00:00
NJ,3,458,2009-11-09 00:00:00
NJ,2,382,2009-11-16 00:00:00
GA,2,184,2009-11-23 00:00:00
GA,1,458,2009-11-30 00:00:00
GA,3,50,2009-12-07 00:00:00
GA,3,610,2009-12-14 00:00:00
fl,2,28,2009-12-21 00:00:00
NY,3,788,2009-12-28 00:00:00
FL,3,277,2010-01-04 00:00:00
NY,1,419,2010-01-11 00:00:00
fl,1,792,2010-01-18 00:00:00
GA,3,493,2010-01-25 00:00:00
NJ,2,739,2010-02-01 00:00:00
fl,3,365,2010-02-08 00:00:00
GA,1,758,2010-02-15 00:00:00
FL,2,537,2010-02-22 00:00:00
TX,1,414,2010-03-01 00:00:00
TX,1,154,2010-03-08 00:00:00
fl,1,32,2010-03-15 00:00:00
FL,3,221,2010-03-22 00:00:00
fl,3,685,2010-03-29 00:00:00
fl,1,654,2010-04-05 00:00:00
TX,2,782,2010-04-12 00:00:00
NJ,3,769,2010-04-19 00:00:00
TX,1,599,2010-04-26 00:00:00
fl,3,53,2010-05-03 00:00:00
FL,2,440,2010-05-10 00:00:00
TX,1,478,2010-05-17 00:00:00
GA,2,948,2010-05-24 00:00:00
FL,1,749,2010-05-31 00:00:00
TX,3,634,2010-06-07 00:00:00
TX,3,896,2010-06-14 00:00:00
NJ,2,811,2010-06-21 00:00:00
TX,3,620,2010-06-28 00:00:00
TX,1,784,2010-07-05 00:00:00
FL,3,475,2010-07-12 00:00:00
fl,3,425,2010-07-19 00:00:00
NJ,1,474,2010-07-26 00:00:00
FL,2,894,2010-08-02 00:00:00
TX,2,57,2010-08-09 00:00:00
fl,3,995,2010-08-16 00:00:00
fl,2,646,2010-08-23 00:00:00
FL,2,817,2010-08-30 00:00:00
NY,1,600,2010-09-06 00:00:00
GA,2,849,2010-09-13 00:00:00
fl,1,134,2010-09-20 00:00:00
fl,1,307,2010-09-27 00:00:00
NJ,1,273,2010-10-04 00:00:00
FL,1,629,2010-10-11 00:00:00
NY,1,816,2010-10-18 00:00:00
NJ,2,374,2010-10-25 00:00:00
FL,1,788,2010-11-01 00:00:00
GA,1,696,2010-11-08 00:00:00
fl,3,505,2010-11-15 00:00:00
GA,3,92,2010-11-22 00:00:00
FL,2,65,2010-11-29 00:00:00
NY,3,574,2010-12-06 00:00:00
GA,2,753,2010-12-13 00:00:00
fl,1,867,2010-12-20 00:00:00
FL,2,650,2010-12-27 00:00:00
fl,1,51,2011-01-03 00:00:00
NJ,2,269,2011-01-10 00:00:00
GA,1,240,2011-01-17 00:00:00
GA,2,402,2011-01-24 00:00:00
fl,3,412,2011-01-31 00:00:00
GA,2,370,2011-02-07 00:00:00
NY,1,289,2011-02-14 00:00:00
TX,1,376,2011-02-21 00:00:00
FL,1,336,2011-02-28 00:00:00
NY,3,425,2011-03-07 00:00:00
TX,2,162,2011-03-14 00:00:00
FL,3,930,2011-03-21 00:00:00
TX,2,431,2011-03-28 00:00:00
FL,1,54,2011-04-04 00:00:00
GA,2,427,2011-04-11 00:00:00
NY,1,973,2011-04-18 00:00:00
NY,2,809,2011-04-25 00:00:00
NJ,3,76,2011-05-02 00:00:00
TX,2,94,2011-05-09 00:00:00
fl,1,45,2011-05-16 00:00:00
FL,1,778,2011-05-23 00:00:00
FL,3,120,2011-05-30 00:00:00
TX,3,95,2011-06-06 00:00:00
GA,3,82,2011-06-13 00:00:00
TX,1,370,2011-06-20 00:00:00
fl,1,688,2011-06-27 00:00:00
NJ,2,86,2011-07-04 00:00:00
FL,3,665,2011-07-11 00:00:00
TX,3,340,2011-07-18 00:00:00
fl,2,417,2011-07-25 00:00:00
NY,1,397,2011-08-01 00:00:00
FL,2,823,2011-08-08 00:00:00
NY,3,196,2011-08-15 00:00:00
GA,3,856,2011-08-22 00:00:00
NY,1,956,2011-08-29 00:00:00
NJ,2,92,2011-09-05 00:00:00
NJ,1,310,2011-09-12 00:00:00
GA,3,766,2011-09-19 00:00:00
TX,1,140,2011-09-26 00:00:00
NY,1,346,2011-10-03 00:00:00
TX,2,68,2011-10-10 00:00:00
GA,2,101,2011-10-17 00:00:00
NJ,3,541,2011-10-24 00:00:00
GA,3,207,2011-10-31 00:00:00
fl,1,49,2011-11-07 00:00:00
TX,2,633,2011-11-14 00:00:00
NJ,2,885,2011-11-21 00:00:00
GA,3,671,2011-11-28 00:00:00
NY,3,757,2011-12-05 00:00:00
NJ,3,843,2011-12-12 00:00:00
TX,3,530,2011-12-19 00:00:00
NJ,1,175,2011-12-26 00:00:00
TX,2,732,2012-01-02 00:00:00
NY,2,375,2012-01-09 00:00:00
GA,2,303,2012-01-16 00:00:00
TX,2,765,2012-01-23 00:00:00
GA,2,98,2012-01-30 00:00:00
NY,2,962,2012-02-06 00:00:00
GA,3,76,2012-02-13 00:00:00
GA,1,260,2012-02-20 00:00:00
fl,1,328,2012-02-27 00:00:00
fl,2,584,2012-03-05 00:00:00
NY,1,217,2012-03-12 00:00:00
TX,3,534,2012-03-19 00:00:00
FL,3,503,2012-03-26 00:00:00
NJ,1,971,2012-04-02 00:00:00
NJ,1,979,2012-04-09 00:00:00
GA,2,797,2012-04-16 00:00:00
TX,3,870,2012-04-23 00:00:00
FL,3,669,2012-04-30 00:00:00
TX,2,507,2012-05-07 00:00:00
TX,1,368,2012-05-14 00:00:00
fl,3,606,2012-05-21 00:00:00
NY,2,806,2012-05-28 00:00:00
TX,1,321,2012-06-04 00:00:00
GA,2,958,2012-06-11 00:00:00
fl,2,726,2012-06-18 00:00:00
NY,3,676,2012-06-25 00:00:00
FL,2,479,2012-07-02 00:00:00
GA,1,461,2012-07-09 00:00:00
NY,3,294,2012-07-16 00:00:00
fl,3,224,2012-07-23 00:00:00
GA,3,678,2012-07-30 00:00:00
NJ,3,836,2012-08-06 00:00:00
NY,2,381,2012-08-13 00:00:00
fl,1,518,2012-08-20 00:00:00
FL,2,898,2012-08-27 00:00:00
NY,1,344,2012-09-03 00:00:00
NY,2,204,2012-09-10 00:00:00
NJ,1,304,2012-09-17 00:00:00
FL,1,968,2012-09-24 00:00:00
FL,2,466,2012-10-01 00:00:00
TX,2,276,2012-10-08 00:00:00
FL,3,257,2012-10-15 00:00:00
FL,3,544,2012-10-22 00:00:00
TX,1,183,2012-10-29 00:00:00
TX,3,569,2012-11-05 00:00:00
FL,1,963,2012-11-12 00:00:00
FL,1,136,2012-11-19 00:00:00
GA,2,973,2012-11-26 00:00:00
GA,3,355,2012-12-03 00:00:00
GA,2,809,2012-12-10 00:00:00
NY,2,82,2012-12-17 00:00:00
FL,3,850,2012-12-24 00:00:00
