State,Status,CustomerCount,StatusDate
NY,2,334,2012-12-31 00:00:00
fl,3,638,2009-01-05 00:00:00
FL,3,813,2009-01-12 00:00:00
GA,3,771,2009-01-19 00:00:00
TX,2,999,2009-01-26 00:00:00
NJ,1,653,2009-02-02 00:00:00
fl,2,500,2009-02-09 00:00:00
NJ,2,221,2009-02-16 00:00:00
GA,1,710,2009-02-23 00:00:00
NJ,3,728,2009-03-02 00:00:00
NJ,3,759,2009-03-09 00:00:00
GA,2,744,2009-03-16 00:00:00
fl,1,752,2009-03-23 00:00:00
fl,1,863,2009-03-30 00:00:00
NJ,3,355,2009-04-06 00:00:00
GA,2,447,2009-04-13 00:00:00
TX,2,161,2009-04-20 00:00:00
GA,3,497,2009-04-27 00:00:00
NJ,2,54,2009-05-04 00:00:00
GA,1,580,2009-05-11 00:00:00
NY,2,695,2009-05-18 00:00:00
FL,2,562,2009-05-25 00:00:00
GA,2,484,2009-06-01 00:00:00
TX,1,649,2009-06-08 00:00:00
fl,2,163,2009-06-15 00:00:00
TX,2,898,2009-06-22 00:00:00
NY,3,545,2009-06-29 00:00:00
GA,3,237,2009-07-06 00:00:00
FL,2,589,2009-07-13 00:00:00
NJ,1,509,2009-07-20 00:00:00
NJ,2,116,2009-07-27 00:00:00
NY,3,383,2009-08-03 00:00:00
NJ,1,498,2009-08-10 00:00:00
fl,1,233,2009-08-17 00:00:00
GA,1,911,2009-08-24 00:00:00
FL,2,158,2009-08-31 00:00:00
TX,3,996,2009-09-07 00:00:00
fl,1,668,2009-09-14 00:00:00
GA,3,166,2009-09-21 00:00:00
NJ,3,148,2009-09-28 00:00:00
NJ,2,333,2009-10-05 00:00:00
TX,1,319,2009-10-12 00:00:00
NY,3,520,2009-10-19 00:00:00
TX,3,822,2009-10-26 00:00:00
TX,1,36,2009-11-02 00:00:00
fl,3,490,2009-11-09 00:00:00
GA,2,561,2009-11-16 00:00:00
NJ,2,195,2009-11-23 00:00:00
FL,2,472,2009-11-30 00:00:00
fl,3,581,2009-12-07 00:00:00
fl,2,48,2009-12-14 00:00:00
FL,2,666,2009-12-21 00:00:00
FL,3,997,2009-12-28 00:00:00
NJ,1,323,2010-01-04 00:00:00
NJ,1,573,2010-01-11 00:00:00
FL,1,988,2010-01-18 00:00:00
NY,3,685,2010-01-25 00:00:00
NJ,2,602,2010-02-01 00:00:00
TX,2,167,2010-02-08 00:00:00
GA,2,161,2010-02-15 00:00:00
GA,1,968,2010-02-22 00:00:00
fl,1,63,2010-03-01 00:00:00
GA,2,524,2010-03-08 00:00:00
NJ,3,988,2010-03-15 00:00:00
GA,3,485,2010-03-22 00:00:00
GA,2,203,2010-03-29 00:00:00
TX,3,225,2010-04-05 00:00:00
FL,3,225,2010-04-12 00:00:00
NJ,3,694,2010-04-19 00:00:00
NY,3,893,2010-04-26 00:00:00
NJ,1,951,2010-05-03 00:00:00
TX,1,30,2010-05-10 00:00:00
FL,1,215,2010-05-17 00:00:00
GA,1,881,2010-05-24 00:00:00
FL,1,665,2010-05-31 00:00:00
fl,2,556,2010-06-07 00:00:00
GA,1,374,2010-06-14 00:00:00
GA,3,59,2010-06-21 00:00:00
FL,3,365,2010-06-28 00:00:00
FL,1,816,2010-07-05 00:00:00
FL,3,198,2010-07-12 00:00:00
fl,2,277,2010-07-19 00:00:00
FL,1,920,2010-07-26 00:00:00
fl,3,287,2010-08-02 00:00:00
NY,3,186,2010-08-09 00:00:00
GA,3,356,2010-08-16 00:00:00
NY,2,170,2010-08-23 00:00:00
GA,1,360,2010-08-30 00:00:00
FL,3,111,2010-09-06 00:00:00
NJ,1,291,2010-09-13 00:00:00
FL,2,525,2010-09-20 00:00:00
NY,1,126,2010-09-27 00:00:00
NJ,1,800,2010-10-04 00:00:00
GA,2,618,2010-10-11 00:00:00
fl,2,947,2010-10-18 00:00:00
FL,1,685,2010-10-25 00:00:00
GA,3,765,2010-11-01 00:00:00
NY,2,62,2010-11-08 00:00:00
GA,2,946,2010-11-15 00:00:00
GA,3,904,2010-11-22 00:00:00
GA,1,160,2010-11-29 00:00:00
NY,3,886,2010-12-06 00:00:00
fl,2,740,2010-12-13 00:00:00
FL,3,76,2010-12-20 00:00:00
NY,3,265,2010-12-27 00:00:00
NY,2,299,2011-01-03 00:00:00
TX,1,295,2011-01-10 00:00:00
NJ,1,813,2011-01-17 00:00:00
NY,3,925,2011-01-24 00:00:00
fl,3,494,2011-01-31 00:00:00
GA,2,220,2011-02-07 00:00:00
NY,3,728,2011-02-14 00:00:00
FL,2,275,2011-02-21 00:00:00
TX,3,591,2011-02-28 00:00:00
GA,3,764,2011-03-07 00:00:00
GA,2,39,2011-03-14 00:00:00
GA,2,562,2011-03-21 00:00:00
NY,2,977,2011-03-28 00:00:00
TX,1,297,2011-04-04 00:00:00
NY,3,462,2011-04-11 00:00:00
TX,3,148,2011-04-18 00:00:00
TX,2,691,2011-04-25 00:00:00
NY,1,27,2011-05-02 00:00:00
NY,1,821,2011-05-09 00:00:00
GA,1,535,2011-05-16 00:00:00
FL,2,112,2011-05-23 00:00:00
NY,3,561,2011-05-30 00:00:00
NY,2,733,2011-06-06 00:00:00
FL,2,570,2011-06-13 00:00:00
TX,3,869,2011-06-20 00:00:00
fl,2,120,2011-06-27 00:00:00
fl,2,215,2011-07-04 00:00:00
TX,1,241,2011-07-11 00:00:00
fl,2,144,2011-07-18 00:00:00
FL,1,624,2011-07-25 00:00:00
FL,3,663,2011-08-01 00:00:00
fl,3,481,2011-08-08 00:00:00
NJ,1,271,2011-08-15 00:00:00
TX,2,707,2011-08-22 00:00:00
FL,3,202,2011-08-29 00:00:00
NY,1,552,2011-09-05 00:00:00
fl,1,107,2011-09-12 00:00:00
fl,2,190,2011-09-19 00:00:00
fl,2,97,2011-09-26 00:00:00
fl,2,937,2011-10-03 00:00:00
NJ,2,662,2011-10-10 00:00:00
NJ,3,589,2011-10-17 00:00:00
fl,1,259,2011-10-24 00:00:00
NY,1,997,2011-10-31 00:00:00
FL,3,290,2011-11-07 00:00:00
TX,2,346,2011-11-14 00:00:00
NY,2,445,2011-11-21 00:00:00
NJ,3,434,2011-11-28 00:00:00
NY,2,553,2011-12-05 00:00:00
NJ,2,131,2011-12-12 00:00:00
GA,3,375,2011-12-19 00:00:00
fl,3,499,2011-12-26 00:00:00
NY,1,577,2012-01-02 00:00:00
NY,3,812,2012-01-09 00:00:00
GA,3,153,2012-01-16 00:00:00
FL,3,902,2012-01-23 00:00:00
NJ,2,688,2012-01-30 00:00:00
TX,1,688,2012-02-06 00:00:00
FL,1,495,2012-02-13 00:00:00
FL,1,719,2012-02-20 00:00:00
GA,3,140,2012-02-27 00:00:00
NY,2,603,2012-03-05 00:00:00
fl,2,170,2012-03-12 00:00:00
NJ,1,423,2012-03-19 00:00:00
fl,3,778,2012-03-26 00:00:00
TX,3,47,2012-04-02 00:00:00
FL,3,725,2012-04-09 00:00:00
NY,3,504,2012-04-16 00:00:00
GA,3,643,2012-04-23 00:00:00
FL,1,623,2012-04-30 00:00:00
fl,2,540,2012-05-07 00:00:00
NY,2,200,2012-05-14 00:00:00
NJ,3,919,2012-05-21 00:00:00
NY,1,555,2012-05-28 00:00:00
NJ,2,873,2012-06-04 00:00:00
NY,2,408,2012-06-11 00:00:00
TX,1,595,2012-06-18 00:00:00
fl,2,948,2012-06-25 00:00:00
TX,2,29,2012-07-02 00:00:00
TX,3,515,2012-07-09 00:00:00
GA,1,452,2012-07-16 00:00:00
NJ,2,142,2012-07-23 00:00:00
TX,1,610,2012-07-30 00:00:00
NY,3,638,2012-08-06 00:00:00
TX,2,578,2012-08-13 00:00:00
NY,3,42,2012-08-20 00:00:00
GA,1,100,2012-08-27 00:00:00
TX,2,555,2012-09-03 00:00:00
NJ,1,65,2012-09-10 00:00:00
NY,3,529,2012-09-17 00:00:00
NJ,2,693,2012-09-24 00:00:00
NJ,1,895,2012-10-01 00:00:00
fl,3,129,2012-10-08 00:00:00
TX,2,810,2012-10-15 00:00:00
NY,2,980,2012-10-22 00:00:00
fl,2,133,2012-10-29 00:00:00
TX,1,162,2012-11-05 00:00:00
NY,3,201,2012-11-12 00:00:00
NJ,2,962,2012-11-19 00:00:00
NJ,1,367,2012-11-26 00:00:00
GA,2,833,2012-12-03 00:00:00
NY,1,769,2012-12-10 00:00:00
GA,3,874,2012-12-17 00:00:00
NJ,3,668,2012-12-24 00:00:00
GA,3,706,2012-12-31 00:00:00
FL,2,882,2009-01-05 00:00:00
NY,3,682,2009-01-12 00:00:00
FL,3,146,2009-01-19 00:00:00
fl,2,755,2009-01-26 00:00:00
GA,3,853,2009-02-02 00:00:00
fl,2,69,2009-02-09 00:00:00
TX,2,957,2009-02-16 00:00:00
GA,3,673,2009-02-23 00:00:00
GA,2,385,2009-03-02 00:00:00
NJ,2,570,2009-03-09 00:00:00
TX,2,990,2009-03-16 00:00:00
fl,1,728,2009-03-23 00:00:00
NJ,2,541,2009-03-30 00:00:00
fl,1,795,2009-04-06 00:00:00
FL,1,520,2009-04-13 00:00:00
NJ,1,937,2009-04-20 00:00:00
NJ,2,523,2009-04-27 00:00:00
TX,1,497,2009-05-04 00:00:00
NJ,2,553,2009-05-11 00:00:00
NJ,3,156,2009-05-18 00:00:00
GA,2,577,2009-05-25 00:00:00
GA,3,732,2009-06-01 00:00:00
fl,3,686,2009-06-08 00:00:00
GA,3,842,2009-06-15 00:00:00
NJ,2,63,2009-06-22 00:00:00
fl,2,471,2009-06-29 00:00:00
GA,1,506,2009-07-06 00:00:00
NY,1,727,2009-07-13 00:00:00
FL,2,607,2009-07-20 00:00:00
FL,1,717,2009-07-27 00:00:00
GA,2,622,2009-08-03 00:00:00
NJ,3,215,2009-08-10 00:00:00
TX,1,413,2009-08-17 00:00:00
NJ,3,330,2009-08-24 00:00:00
fl,3,298,2009-08-31 00:00:00
NJ,1,422,2009-09-07 00:00:00
GA,1,185,2009-09-14 00:00:00
fl,1,219,2009-09-21 00:00:00
NJ,2,564,2009-09-28 00:00:00
FL,1,432,2009-10-05 00:00:00
NY,3,860,2009-10-12 00:00:00
NY,1,240,2009-10-19 00:00:00
NJ,2,694,2009-10-26 00:00:00
GA,2,696,2009-11-02 00:00:00
fl,3,984,2009-11-09 00:00:00
fl,3,737,2009-11-16 00:00:00
NY,1,462,2009-11-23 00:00:00
NY,3,475,2009-11-30 00:00:00
GA,1,537,2009-12-07 00:00:00
FL,1,848,2009-12-14 00:00:00
NY,3,508,2009-12-21 00:00:00
FL,3,743,2009-12-28 00:00:00
GA,3,105,2010-01-04 00:00:00
NY,2,195,2010-01-11 00:00:00
NJ,3,291,2010-01-18 00:00:00
GA,3,125,2010-01-25 00:00:00
NY,3,273,2010-02-01 00:00:00
GA,1,564,2010-02-08 00:00:00
FL,2,147,2010-02-15 00:00:00
TX,2,996,2010-02-22 00:00:00
FL,3,914,2010-03-01 00:00:00
NY,2,199,2010-03-08 00:00:00
FL,2,516,2010-03-15 00:00:00
GA,2,979,2010-03-22 00:00:00
GA,3,667,2010-03-29 00:00:00
NY,1,205,2010-04-05 00:00:00
GA,1,218,2010-04-12 00:00:00
NY,2,201,2010-04-19 00:00:00
fl,2,853,2010-04-26 00:00:00
NJ,3,768,2010-05-03 00:00:00
GA,3,110,2010-05-10 00:00:00
TX,2,238,2010-05-17 00:00:00
TX,3,965,2010-05-24 00:00:00
fl,3,408,2010-05-31 00:00:00
GA,2,602,2010-06-07 00:00:00
FL,2,586,2010-06-14 00:00:00
NY,3,678,2010-06-21 00:00:00
FL,1,847,2010-06-28 00:00:00
fl,3,676,2010-07-05 00:00:00
FL,3,200,2010-07-12 00:00:00
GA,1,153,2010-07-19 00:00:00
NY,2,746,2010-07-26 00:00:00
GA,2,738,2010-08-02 00:00:00
GA,3,635,2010-08-09 00:00:00
fl,1,547,2010-08-16 00:00:00
TX,3,321,2010-08-23 00:00:00
NJ,1,823,2010-08-30 00:00:00
GA,3,522,2010-09-06 00:00:00
TX,1,787,2010-09-13 00:00:00
TX,1,191,2010-09-20 00:00:00
GA,1,753,2010-09-27 00:00:00
fl,3,836,2010-10-04 00:00:00
fl,1,800,2010-10-11 00:00:00
FL,1,722,2010-10-18 00:00:00
GA,2,199,2010-10-25 00:00:00
NY,1,826,2010-11-01 00:00:00
NJ,2,151,2010-11-08 00:00:00
TX,1,336,2010-11-15 00:00:00
FL,2,81,2010-11-22 00:00:00
FL,1,366,2010-11-29 00:00:00
fl,2,51,2010-12-06 00:00:00
FL,3,950,2010-12-13 00:00:00
FL,2,504,2010-12-20 00:00:00
TX,3,51,2010-12-27 00:00:00
FL,3,921,2011-01-03 00:00:00
NY,2,582,2011-01-10 00:00:00
fl,3,988,2011-01-17 00:00:00
GA,2,108,2011-01-24 00:00:00
fl,3,504,2011-01-31 00:00:00
TX,1,371,2011-02-07 00:00:00
GA,3,66,2011-02-14 00:00:00
TX,1,699,2011-02-21 00:00:00
GA,3,975,2011-02-28 00:00:00
NJ,2,880,2011-03-07 00:00:00
FL,1,333,2011-03-14 00:00:00
FL,2,703,2011-03-21 00:00:00
GA,3,409,2011-03-28 00:00:00
NJ,3,451,2011-04-04 00:00:00
fl,2,71,2011-04-11 00:00:00
fl,1,398,2011-04-18 00:00:00
FL,1,910,2011-04-25 00:00:00
GA,3,659,2011-05-02 00:00:00
GA,2,691,2011-05-09 00:00:00
TX,2,174,2011-05-16 00:00:00
NJ,3,872,2011-05-23 00:00:00
GA,1,126,2011-05-30 00:00:00
TX,2,579,2011-06-06 00:00:00
TX,2,797,2011-06-13 00:00:00
GA,3,401,2011-06-20 00:00:00
TX,3,125,2011-06-27 00:00:00
FL,1,998,2011-07-04 00:00:00
NJ,1,878,2011-07-11 00:00:00
NJ,3,306,2011-07-18 00:00:00
FL,2,462,2011-07-25 00:00:00
NY,3,746,2011-08-01 00:00:00
NJ,1,223,2011-08-08 00:00:00
GA,1,730,2011-08-15 00:00:00
NJ,3,626,2011-08-22 00:00:00
GA,1,865,2011-08-29 00:00:00
FL,2,41,2011-09-05 00:00:00
TX,2,909,2011-09-12 00:00:00
NJ,3,187,2011-09-19 00:00:00
fl,3,825,2011-09-26 00:00:00
NJ,1,742,2011-10-03 00:00:00
FL,3,348,2011-10-10 00:00:00
FL,3,214,2011-10-17 00:00:00
FL,2,47,2011-10-24 00:00:00
TX,2,667,2011-10-31 00:00:00
FL,3,455,2011-11-07 00:00:00
NY,1,747,2011-11-14 00:00:00
NY,2,141,2011-11-21 00:00:00
FL,1,142,2011-11-28 00:00:00
fl,1,606,2011-12-05 00:00:00
FL,2,549,2011-12-12 00:00:00
NJ,2,279,2011-12-19 00:00:00
FL,3,225,2011-12-26 00:00:00
FL,1,784,2012-01-02 00:00:00
NJ,3,510,2012-01-09 00:00:00
NJ,1,240,2012-01-16 00:00:00
GA,2,211,2012-01-23 00:00:00
fl,2,973,2012-01-30 00:00:00
GA,1,649,2012-02-06 00:00:00
NJ,2,743,2012-02-13 00:00:00
NJ,3,669,2012-02-20 00:00:00
NJ,3,360,2012-02-27 00:00:00
fl,1,433,2012-03-05 00:00:00
NJ,1,858,2012-03-12 00:00:00
NJ,1,607,2012-03-19 00:00:00
NY,2,904,2012-03-26 00:00:00
fl,3,175,2012-04-02 00:00:00
TX,2,513,2012-04-09 00:00:00
TX,3,486,2012-04-16 00:00:00
NJ,1,516,2012-04-23 00:00:00
TX,1,471,2012-04-30 00:00:00
TX,1,670,2012-05-07 00:00:00
FL,3,500,2012-05-14 00:00:00
FL,3,457,2012-05-21 00:00:00
NY,2,789,2012-05-28 00:00:00
TX,1,410,2012-06-04 00:00:00
NY,3,100,2012-06-11 00:00:00
FL,1,669,2012-06-18 00:00:00
fl,2,348,2012-06-25 00:00:00
fl,3,336,2012-07-02 00:00:00
fl,3,393,2012-07-09 00:00:00
NJ,3,210,2012-07-16 00:00:00
FL,3,363,2012-07-23 00:00:00
FL,3,995,2012-07-30 00:00:00
fl,1,178,2012-08-06 00:00:00
TX,3,26,2012-08-13 00:00:00
NJ,1,248,2012-08-20 00:00:00
TX,2,74,2012-08-27 00:00:00
NY,3,46,2012-09-03 00:00:00
FL,3,920,2012-09-10 00:00:00
fl,2,623,2012-09-17 00:00:00
NJ,3,784,2012-09-24 00:00:00
TX,3,924,2012-10-01 00:00:00
fl,1,716,2012-10-08 00:00:00
fl,3,428,2012-10-15 00:00:00
fl,1,955,2012-10-22 00:00:00
NJ,2,380,2012-10-29 00:00:00
GA,2,105,2012-11-05 00:00:00
fl,3,772,2012-11-12 00:00:00
NJ,2,390,2012-11-19 00:00:00
FL,3,513,2012-11-26 00:00:00
FL,2,122,2012-12-03 00:00:00
NY,2,887,2012-12-10 00:00:00
TX,2,988,2012-12-17 00:00:00
TX,3,946,2012-12-24 00:00:00
GA,2,970,2012-12-31 00:00:00
FL,,,
